1,19126049,Nguyen,Hoang Anh Khoi,Male,4/10/2001,302543444176,3,5,5,2
2,19126050,Hoang,Lan,Female,17/10/2001,104920421167,1,6,8,6
3,19126053,Duong,Quang Minh,Male,16/12/2001,722333528072,5,3,3,1
4,19126054,Nguyen,Gia Minh,Female,24/12/2001,702025977501,6,9,8,8
5,19126055,Tran,Hoang Thao Ngan,Female,18/11/2001,482935958274,6,3,2,1
6,19126057,Le,Quan Phat,Female,20/4/2001,294015950977,10,10,1,10
7,19126062,Huynh,Quang Thang,Male,17/1/2001,714617034437,7,7,7,8
8,19126066,Pham,Dung Thong,Male,20/5/2001,640885881028,8,9,1,2
9,19126069,Le,Huy Vi,Female,7/4/2001,809909869732,8,2,6,5
10,19126072,Phan,Tuong Vy,Female,20/3/2001,159903309004,1,2,10,3
11,19127010,Nguyen,Minh An,Male,15/8/2001,739245028611,7,9,5,3
12,19127011,Nguyen,Quoc Bao,Female,17/4/2001,348854787723,0,5,5,3
13,19127017,Truong,Gia Dat,Female,6/11/2001,433438110544,3,2,7,0
14,19127033,Trinh,Anh Khoa,Female,7/11/2001,613328758837,1,5,2,3
15,19127034,Doan,Ngoc Nhu Khoi,Female,27/10/2001,622074815670,5,1,8,3
16,19127039,Tran,Hoang Kim,Female,16/1/2001,198691251755,7,0,4,9
17,19127044,Daòng,Le Minh,Female,30/7/2001,560853151817,6,2,9,7
18,19127049,Doan,Huong Ngan,Female,6/1/2001,528834150394,2,8,8,8
19,19127051,Luu,Thi Hong Ngoc,Male,23/12/2001,312326342439,5,10,1,4
20,19127054,Thai,Duy Nguyen,Female,14/4/2001,415962183894,5,10,1,10
21,19127055,Le,Vu Minh Nhat,Female,10/5/2001,178168112129,10,6,4,10
22,19127057,Tran,Vinh Phat,Male,29/10/2001,754414344656,6,2,4,4
23,19127072,Nguyen,Nang Tien,Female,8/5/2001,475952573172,5,3,9,3
24,19127080,Nguyen,Thanh Trung,Female,11/8/2001,173448920329,10,5,6,2
25,19127095,Ngo,Huy Anh,Female,27/1/2001,634973732450,1,8,8,1
26,19127100,Le,Tran Gia Bao,Male,8/1/2001,612989931118,2,7,4,7
27,19127102,Vo,Hoang Gia Bao,Female,11/10/2001,432604996307,1,1,6,7
28,19127103,Nguyen,Thai Binh,Female,15/7/2001,197314004529,4,10,1,6
29,19127104,Nguyen,Van Binh,Female,5/4/2001,434657412908,3,10,3,3
30,19127107,Nguyen,Thu Thao Chau,Female,10/8/2001,681971750677,3,5,3,9
31,19127108,Ngo,Phu Chien,Female,16/7/2001,207345896613,1,3,10,3
32,19127109,Bui,Ngoc Chinh,Male,8/10/2001,224488837155,6,6,6,2
33,19127114,Pham,Thanh Dang,Male,11/12/2001,614135763243,0,7,7,4
34,19127118,Ta,Cong Dien,Female,23/1/2001,447365055025,0,6,9,6
35,19127122,Lam,Tri Duc,Male,11/5/2001,694394102548,0,6,2,3
36,19127125,Le,Duy Dung,Female,29/3/2001,866448565750,1,5,7,3
