7,22125108,Vong,Vinh Toan,Female,29/2/2024,46448786532
2,22125010,Phan,Phuc Bao,Male,1/6/2004,30931312309
3,22125035,Nguyen,Vinh Khang,Male,1/5/2004,30931312309
4,22125095,Dao,Xuan Thanh,Male,6/1/2004,30931312309
5,22125011,Pham,Phu Loi,Male,6/1/2004,30931312309
6,22125012,Nguyen,Vo Hoang Thong,Male,6/1/2004,30931312309
7,22125013,Nguyen,Anh Khoi,Male,6/1/2004,30931312309
8,22125108,Vong,Vinh Toan,Female,29/2/2024,46448786532
9,22125035,Phat Minh,Le,Female,16/11/2004,789456123000
10,123456789456,Ho,Tuan Thanh,Male,1/1/1990,123456789456
11,1234567,Nguyen,Vinh Toan,Male,16/2/2004,789456123456
12,22125010,Bao,Phan Phuc,Male,1/6/2004,231203930292
