1,20127114,Huynh,Quoc Bao,Female,22/10/2002,307510643796
2,20127115,Lam,Quoc Bao,Female,4/1/2002,576680760450
3,20127116,Nguyen,Gia Bao,Female,10/6/2002,465545660280
4,20127117,Nguyen,Minh Gia Bao,Female,23/12/2002,358389712957
5,20127118,Nguyen,Phuc Bao,Female,16/5/2002,687083326658
6,20127119,Pham,Nguyen Gia Bao,Female,25/6/2002,152625930944
7,20127120,Tran,Le Hoang Bao,Female,10/2/2002,656890279903
8,20127121,Tran,Ngo Gia Bao,Female,29/4/2002,780288492356
9,20127122,Pham,Thai Binh,Female,26/9/2002,297026058709
10,20127124,Dang,Bao Chau,Female,27/3/2002,634311476399
11,20127125,Nguyen,Minh Chau,Female,7/8/2002,557514810353
12,20127128,Pham,Cuong,Female,5/8/2002,413564292639
13,20127129,Le,Hai Dang,Female,1/12/2002,351559746024
14,20127130,Bui,Tien Dat,Female,2/3/2002,893629279098
15,20127132,Nguyen,Van Dat,Female,16/10/2002,331707718035
16,20127133,Nguyen,Vu Thanh Dat,Female,14/12/2002,383462864106
17,20127134,Tran,Quoc Dat,Female,28/5/2002,175654530706
18,20127135,Tran,Huynh Ngoc Diep,Female,21/7/2002,826634443498
19,20127136,Daòng,Minh Duìc,Female,17/3/2002,353290687070
20,20127138,Huynh,Minh Duc,Female,17/11/2002,372794398805
21,20127141,Bui,Tuan Dung,Female,17/5/2002,820375136608
22,20127142,Le,Phi Duong,Female,24/11/2002,254068466100
23,20127143,Pham,Giang Thai Duong,Female,1/2/2002,731645079524
24,20127145,Ho,Quoc Duy,Female,2/6/2002,208048721209
25,20127146,Le,Tuan Duy,Female,7/4/2002,450637583314
26,20127149,Phan,Nguyen Thanh Duy,Female,27/8/2002,543956499569
27,20127153,Mai,Tran Gia Han,Female,4/10/2002,748746812292
28,20127154,Nguyen,Thi Thanh Hang,Female,26/1/2002,505246848612
29,20127155,Pham,Anh Hao,Female,15/1/2002,145772252377
30,20127157,Le,Nguyen Chi Hieu,Female,26/11/2002,645122220046
31,20127158,Le,Tran Trung Hieu,Female,23/8/2002,383093742270
32,20127159,Nguyen,Tan Hieu,Female,23/2/2002,389646227808
33,20127161,Bui,Thi Thanh Hoa,Female,2/8/2002,262687210779
34,20127162,Nguyen,Son Hoa,Female,22/5/2002,434914609135
35,20127165,Le,Van Hoan,Female,25/2/2002,722546386180
36,20127169,Pham,Huy Hoang,Female,21/11/2002,107477076325
37,20127170,Pham,Viet Hoang,Female,12/2/2002,638295855690
38,20127171,Vu,Huy Hoang,Female,8/5/2002,731506778360
39,20127172,Truong,Quoc Huan,Female,17/9/2002,800530863259
40,20127175,Do,Nguyen Hung,Female,7/10/2002,161310639829
41,20127176,Do,Tung Gia Hung,Female,19/4/2002,254452734771
42,20127180,Tran,Nguyen Long Hung,Female,5/7/2002,512849652653
43,20127184,Ha,Huynh Duc Huy,Female,21/12/2002,488750340657
